Date,Close/Last,Volume,Open,High,Low,,,Date,High
1/25/2021,32007.5,N/A,33397.7,32820.1,31493.3,,,1/25/2021,32820.1
1/24/2021,33348.7,N/A,32838.3,33739.5,32205.1,,,1/24/2021,33739.5
1/23/2021,32659.8,N/A,32598.5,32702.9,31692.5,,,1/23/2021,32702.9
1/22/2021,32635.2,N/A,30933.8,32994.1,32088.2,,,1/22/2021,32994.1
1/21/2021,30812.8,N/A,34249.9,31380,28871.2,,,1/21/2021,31380
1/20/2021,34462.6,N/A,35261.1,35591.1,34256.8,,,1/20/2021,35591.1
1/19/2021,35386.8,N/A,36332.8,36384.4,34857,,,1/19/2021,36384.4
1/18/2021,36406.6,N/A,35132.9,37270.5,36360.3,,,1/18/2021,37270.5
1/17/2021,34976.6,N/A,35857.6,36195.2,34890.7,,,1/17/2021,36195.2
1/16/2021,35955.7,N/A,36582.2,36723.7,35592.7,,,1/16/2021,36723.7
1/15/2021,36549.4,N/A,38459.4,37608.6,36022.9,,,1/15/2021,37608.6
1/14/2021,38569.2,N/A,37485.3,39715,38354.6,,,1/14/2021,39715
1/13/2021,37370.9,N/A,33179.3,38133.2,36772.1,,,1/13/2021,38133.2
1/12/2021,33168.2,N/A,35278.4,34297,32451.9,,,1/12/2021,34297
1/11/2021,34771.4,N/A,35567.4,35490,33729.6,,,1/11/2021,35490
1/10/2021,35633.7,N/A,40378.2,38217.2,33688.8,,,1/10/2021,38217.2
1/9/2021,40390.8,N/A,40236.9,41362.4,40149.7,,,1/9/2021,41362.4
1/8/2021,40378.7,N/A,38721.8,40950.2,39556.7,,,1/8/2021,40950.2
1/7/2021,38713.3,N/A,37492.9,39701.2,36613.4,,,1/7/2021,39701.2
1/6/2021,37490,N/A,35320.3,37714.8,36494.1,,,1/6/2021,37714.8
1/5/2021,35228.7,N/A,30918.3,35739.4,33408.3,,,1/5/2021,35739.4
1/4/2021,31381.1,N/A,33288.9,32846.9,30460.5,,,1/4/2021,32846.9
1/3/2021,33328.7,N/A,33238.9,33587.5,32453.1,,,1/3/2021,33587.5
1/2/2021,32861.6,N/A,29382.6,32884.7,32029.6,,,1/2/2021,32884.7
1/1/2021,29400.6,N/A,29245,29496.7,29008,,,1/1/2021,29496.7
12/31/2020,29238.8,N/A,29024.8,29482.3,28724.3,,,12/31/2020,29482.3
12/30/2020,28940.6,N/A,27903.6,29298.8,28334.2,,,12/30/2020,29298.8
12/29/2020,27838.5,N/A,26443.7,28192.6,27377,,,12/29/2020,28192.6
12/28/2020,26381.2,N/A,26847.4,27089.4,26205.1,,,12/28/2020,27089.4
12/27/2020,26946.1,N/A,26715.1,27331.6,26144.3,,,12/27/2020,27331.6
12/26/2020,26710.9,N/A,24811.2,26937.5,26438.4,,,12/26/2020,26937.5
12/25/2020,24911.2,N/A,23603.6,25011,24515.1,,,12/25/2020,25011
12/24/2020,23577.7,N/A,23023.4,23814.1,23445.3,,,12/24/2020,23814.1
12/23/2020,22977.4,N/A,23470,23253.2,22737.3,,,12/23/2020,23253.2
12/22/2020,23516.6,N/A,22948.2,24028.9,23500.7,,,12/22/2020,24028.9
12/21/2020,22954.2,N/A,23912.5,23060.8,22481,,,12/21/2020,23060.8
12/20/2020,23901.2,N/A,23410,24101.9,23321.1,,,12/20/2020,24101.9
12/19/2020,23300.3,N/A,23047.1,23843.6,23098.9,,,12/19/2020,23843.6
12/18/2020,23083.2,N/A,22867.7,23229.1,22923.1,,,12/18/2020,23229.1
12/17/2020,22947.3,N/A,21786.2,23241.3,22493.9,,,12/17/2020,23241.3
12/16/2020,21837.6,N/A,19335,22148.4,21243.1,,,12/16/2020,22148.4
12/15/2020,19381.2,N/A,19484.8,19491.7,19299.7,,,12/15/2020,19491.7
12/14/2020,19309.3,N/A,19265.1,19556.3,19250.3,,,12/14/2020,19556.3
12/13/2020,19083,N/A,18790.9,19326.2,19007,,,12/13/2020,19326.2
12/12/2020,18867.2,N/A,18277.1,18883.6,18716.8,,,12/12/2020,18883.6
12/11/2020,18384,N/A,17962.6,18390.1,18025.1,,,12/11/2020,18390.1
12/10/2020,17984,N/A,18400.6,18288.3,17733.8,,,12/10/2020,18288.3
12/9/2020,18455.5,N/A,18153.8,18551.8,18339.6,,,12/9/2020,18551.8
12/8/2020,18217.9,N/A,19182.5,18371.5,18053,,,12/8/2020,18371.5
12/7/2020,19178.5,N/A,19290,19236,19141.1,,,12/7/2020,19236
12/6/2020,19288.8,N/A,19191.3,19424.6,19166.9,,,12/6/2020,19424.6
12/5/2020,19203.7,N/A,18816.8,19340.1,19141,,,12/5/2020,19340.1
12/4/2020,18884.1,N/A,19170.8,18921.3,18507.1,,,12/4/2020,18921.3
12/3/2020,19288.2,N/A,19040.9,19529.5,19140.2,,,12/3/2020,19529.5
12/2/2020,19065.4,N/A,18519.1,19295,18954.6,,,12/2/2020,19295
12/1/2020,18507.3,N/A,19380.4,18954.5,18346.7,,,12/1/2020,18954.5
11/30/2020,19466.8,N/A,18535,19717.6,19366.8,,,11/30/2020,19717.6
11/29/2020,18511.3,N/A,17771.7,18616.7,18186,,,11/29/2020,18616.7
11/28/2020,17791.7,N/A,16969.4,17864,17530.4,,,11/28/2020,17864
11/27/2020,16938.7,N/A,17070.3,17191.5,16915.9,,,11/27/2020,17191.5
11/26/2020,17071.3,N/A,17757.1,17450.3,17037.8,,,11/26/2020,17450.3
11/25/2020,17777.1,N/A,18690.9,18894.9,17279.7,,,11/25/2020,18894.9
11/24/2020,18779.6,N/A,18448.2,19216.6,18769.4,,,11/24/2020,19216.6
11/23/2020,18423.7,N/A,18461.3,18527.7,18230,,,11/23/2020,18527.7
11/22/2020,18453.4,N/A,18593.9,18516.7,18016,,,11/22/2020,18516.7
11/21/2020,18582.4,N/A,18583.1,18751.5,18367.6,,,11/21/2020,18751.5
11/20/2020,18614.6,N/A,18195,18966,18467.5,,,11/20/2020,18966
11/19/2020,18180,N/A,17847.3,18225.4,17758.4,,,11/19/2020,18225.4
11/18/2020,17843.5,N/A,18377.9,18054.8,17594.6,,,11/18/2020,18054.8
11/17/2020,18376.8,N/A,16672.6,18393.2,17613.2,,,11/17/2020,18393.2
11/16/2020,16648.2,N/A,16032.5,16825.9,16562,,,11/16/2020,16825.9
11/15/2020,16004.3,N/A,15937.4,16042.1,15870.7,,,11/15/2020,16042.1
11/14/2020,15924.2,N/A,16149.6,16102.3,15879.5,,,11/14/2020,16102.3
11/13/2020,16116.8,N/A,16405.1,16328.2,16111.2,,,11/13/2020,16328.2
11/12/2020,16395.1,N/A,15666.2,16474.1,16270.7,,,11/12/2020,16474.1
11/11/2020,15659.1,N/A,15372.5,15712.1,15483.5,,,11/11/2020,15712.1
11/10/2020,15385.2,N/A,15385.1,15497.5,15281,,,11/10/2020,15497.5
11/9/2020,15396.9,N/A,15385.7,15431.2,15192.7,,,11/9/2020,15431.2
11/8/2020,15395.6,N/A,14967.7,15598.4,15364.2,,,11/8/2020,15598.4
11/7/2020,15030.2,N/A,15556.5,15106.5,14720.7,,,11/7/2020,15106.5
11/6/2020,15498.7,N/A,15463.3,15754.4,15471.1,,,11/6/2020,15754.4
11/5/2020,15548.2,N/A,14293.3,15955.2,15433,,,11/5/2020,15955.2
11/4/2020,14292.5,N/A,13908.9,14358.6,14099.7,,,11/4/2020,14358.6
11/3/2020,13897.3,N/A,13419.7,14034.5,13704.8,,,11/3/2020,14034.5
11/2/2020,13419,N/A,13698.9,13640.2,13321.2,,,11/2/2020,13640.2
11/1/2020,13666.5,N/A,13677.2,13828.4,13655,,,11/1/2020,13828.4
10/31/2020,13659,N/A,13491.7,13889.5,13659,,,10/31/2020,13889.5
10/30/2020,13471.3,N/A,13434,13731.5,13441.7,,,10/30/2020,13731.5
10/29/2020,13452.7,N/A,13280.8,13655.7,13363.1,,,10/29/2020,13655.7
10/28/2020,13266.6,N/A,13785,13308.6,13180.8,,,10/28/2020,13308.6
10/27/2020,13799.5,N/A,13082.2,13851.7,13637.3,,,10/27/2020,13851.7
10/26/2020,13090,N/A,13100.9,13125.2,13050.3,,,10/26/2020,13125.2
